method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
DSSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	12.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	64.0	0.3282051282051282	1.0	0.23837209302325582	0.07923734385272847	2.2007412910461426
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	symboling	3	0.11794871794871795	5.0	2.0	39.0	0.2	1.0	0.09302325581395349	0.09435897435897436	0.02153778076171875
BSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	81.0	0.4153846153846154	1.0	0.3372093023255814	0.06895463510848127	2.1056013107299805
DSSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	60.0	0.3076923076923077	1.0	0.21511627906976744	0.08165680473372781	2.3770270347595215
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	symboling	3	0.11794871794871795	5.0	2.0	32.0	0.1641025641025641	1.0	0.05232558139534884	0.0985930309007232	0.044661521911621094
BSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	81.0	0.4153846153846154	1.0	0.3372093023255814	0.06895463510848127	2.7620954513549805
DSSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	53.0	0.2717948717948718	1.0	0.1744186046511628	0.08589086127547665	3.764467477798462
fssd	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height', 'wheel_base', 'horsepower', 'length', 'curb_weight', 'price']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	symboling	3	0.11794871794871795	5.0	1.0	35.0	0.1794871794871795	1.0	0.06976744186046512	0.0967784352399737	0.04714608192443848
BSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height', 'wheel_base', 'horsepower', 'length', 'curb_weight', 'price']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	81.0	0.4153846153846154	1.0	0.3372093023255814	0.06895463510848127	3.512171983718872
DSSD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height', 'wheel_base', 'horsepower', 'length', 'curb_weight', 'price']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	symboling	3	0.11794871794871795	5.0	5.0	55.0	0.28205128205128205	1.0	0.18604651162790697	0.08468113083497698	4.350193738937378
MCTS4DM	autos	['engine_location']	['simple']	1.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	174.17987537384033
MCTS4DM	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	118.06665825843811
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	145.78031826019287
