method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	3	0.19832402234636873	5.0	2.0	72.0	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	0.05732107162475586
BSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	3	0.19832402234636873	5.0	5.0	170.0	0.4748603351955307	0.9859154929577465	0.34843205574912894	0.10135451452826068	0.8363327980041504
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8.0	class	3	0.19832402234636873	5.0	5.0	217.0	0.6061452513966481	1.0	0.5087108013937283	0.07811085796323461	0.8621547222137451
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	class	3	0.19832402234636873	5.0	2.0	72.0	0.2011173184357542	1.0	0.003484320557491289	0.15843762679067447	0.10343813896179199
BSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	class	3	0.19832402234636873	5.0	5.0	169.0	0.4720670391061452	1.0	0.34146341463414637	0.10470178833369745	4.795319080352783
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8.0	class	3	0.19832402234636873	5.0	5.0	73.0	0.20391061452513967	1.0	0.006968641114982578	0.15788364907462316	1.0877995491027832
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	class	3	0.19832402234636873	5.0	1.0	71.0	0.19832402234636873	1.0	0.0	0.15899160450672578	0.03603816032409668
BSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	class	3	0.19832402234636873	5.0	5.0	51.0	0.1424581005586592	0.7183098591549296	0.0	0.11420523704004247	10.551166772842407
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8.0	class	3	0.19832402234636873	5.0	5.0	76.0	0.2122905027932961	1.0	0.017421602787456445	0.15622171592646925	1.8046793937683105
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	30.0	8.0	class	3	0.19832402234636873	5.0	1.0	71.0	0.19832402234636873	1.0	0.0	0.15899160450672578	0.044608116149902344
