method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	12.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3316.0	0.40817331363860165	0.8406537282941777	0.005703422053231939	0.20846791036327372	5.275015830993652
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	15.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4100.0	0.5046774987690793	1.0	0.043726235741444866	0.23875959069673625	1.1087238788604736
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	15.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3348.0	0.4121122599704579	0.8140960163432074	0.03802281368821293	0.19376765016687428	2.7829341888427734
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	15.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3316.0	0.40817331363860165	0.8406537282941777	0.005703422053231939	0.20846791036327372	13.084609031677246
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	20.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4092.0	0.5036927621861153	1.0	0.04182509505703422	0.23923426185120292	2.0193793773651123
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	20.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3348.0	0.4121122599704579	0.8140960163432074	0.03802281368821293	0.19376765016687428	10.282118558883667
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	20.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3796.0	0.4672575086164451	0.9693564862104188	0.0	0.24202604582200896	76.63687467575073
fssd	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring', 'cap_color', 'gill_color']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	22.0	8.0	edible	p	0.48202855736090594	5.0	5.0	4092.0	0.5036927621861153	1.0	0.04182509505703422	0.23923426185120292	2.8073642253875732
BSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring', 'cap_color', 'gill_color']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	22.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3348.0	0.4121122599704579	0.8140960163432074	0.03802281368821293	0.19376765016687428	16.649494409561157
DSSD	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root', 'ring_type', 'population', 'cap_shape', 'habitat', 'odor', 'stalk_color_above_ring', 'spore_print_color', 'stalk_color_below_ring', 'cap_color', 'gill_color']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	22.0	8.0	edible	p	0.48202855736090594	5.0	5.0	3796.0	0.4672575086164451	0.9693564862104188	0.0	0.24202604582200896	108.31030368804932
MCTS4DM	mushrooms	['veil_type', 'bruises']	['simple', 'simple']	2.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	32.85419988632202
MCTS4DM	mushrooms	['veil_type', 'bruises', 'gill_size']	['simple', 'simple', 'simple']	3.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	44.280457496643066
MCTS4DM	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	50.61166167259216
MCTS4DM	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	17.452836751937866
MCTS4DM	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	86.56932711601257
MCTS4DM	mushrooms	['veil_type', 'bruises', 'gill_size', 'gill_spacing', 'gill_attachment', 'stalk_shape', 'ring_number', 'stalk_surface_below_ring', 'cap_surface', 'stalk_surface_above_ring', 'veil_color', 'stalk_root']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	12.0	8	edible	p	0.48202855736090594	5.0	0.0	0.0	0.0	0.0	0.0	0.0	73.88924026489258
