method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
MCTS4DM	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3.0	8	class	3	0.0794392523364486	5.0	5.0	124.0	0.5794392523364486	0.8823529411764706	0.5532994923857868	0.024063236963926978	0.5887057781219482
MCTS4DM	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8	class	3	0.0794392523364486	5.0	5.0	90.0	0.4205607476635514	0.9411764705882353	0.3756345177664975	0.04135732378373656	2.1178832054138184
MCTS4DM	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8	class	3	0.0794392523364486	5.0	5.0	113.0	0.5280373831775701	0.9411764705882353	0.49238578680203043	0.032819460214865925	2.503934144973755
MCTS4DM	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca', 'RI', 'Id']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8	class	3	0.0794392523364486	5.0	5.0	148.0	0.6915887850467289	1.0	0.6598984771573604	0.0248711677875797	2.94553542137146
CN2SD	glass	['Fe']	['numeric']	1.0	-1.0	class	3	0.0794392523364486	5.0	4.0	1.0	0.004629629629629629	0.058823529411764705	0.0	0.004301685736745567	0.17100000381469727
CN2SD	glass	['Fe', 'Ba']	['numeric', 'numeric']	2.0	-1.0	class	3	0.0794392523364486	5.0	4.0	2.0	0.009259259259259259	0.11764705882352941	0.0	0.008603371473491134	0.30900001525878906
CN2SD	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	3	0.0794392523364486	5.0	5.0	214.0	0.9907407407407407	1.0	1.0	0.0	1.7609999179840088
CN2SD	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	-1.0	class	3	0.0794392523364486	5.0	5.0	214.0	0.9907407407407407	1.0	1.0	0.0	5.031000137329102
CN2SD	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	-1.0	class	3	0.0794392523364486	5.0	5.0	214.0	0.9907407407407407	1.0	1.0	0.0	6.878999710083008
CN2SD	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca', 'RI', 'Id']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	-1.0	class	3	0.0794392523364486	5.0	1.0	214.0	0.9907407407407407	1.0	1.0	0.0	2.812999963760376
