method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	B	0.0784	5	5	333	0.5328	0.9591836734693877	0.4965277777777778	0.033428479999999997	2719	0.315000057220459	0.83984375	True
naive	balance	['c', 'd', 'b', 'a']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	B	0.0784	5	5	333	0.5328	0.9591836734693877	0.4965277777777778	0.033428479999999997	4039	0.8459999561309814	7.3359375	True
