sg;quality;size;#conditions;description
65;0.00192;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
66;0.00192;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
67;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
68;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
69;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
70;0.00192;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
71;0.00192;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
72;0.00192;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
73;0.00192;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
74;0.00192;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
75;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
76;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
77;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
78;0.00192;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
79;0.00192;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
80;0.00192;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
81;0.00192;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
82;0.00192;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c > 1.00000
83;0.00128;500;1;c < 4.50000
84;0.00128;500;2;c < 4.50000 && c < 4.50000
85;0.00096;375;1;c < 3.50000
86;0.00096;375;2;c < 4.50000 && c > 1.00000
87;0.00096;375;2;c < 4.50000 && c < 4.00000
88;0.00096;375;2;c < 3.50000 && c < 3.50000
89;0.00064;250;2;c < 3.50000 && c > 1.00000
90;0.00032;125;1;c < 1.50000
91;0.00032;125;2;c < 2.50000 && c < 2.00000
92;0.00032;125;2;c < 2.50000 && c < 2.00000
93;0.00032;125;2;c < 2.50000 && c < 2.00000
94;0.00032;125;2;c < 2.50000 && c < 2.00000
95;0.00032;125;2;c < 4.50000 && c < 2.00000
96;0.00032;125;2;c < 4.50000 && c > 3.00000
97;0.00032;125;2;c < 3.50000 && c < 2.00000
98;0.00032;125;2;c < 3.50000 && c < 2.00000
99;0.00032;125;2;c < 1.50000 && c < 1.50000
100;0.00032;125;3;c < 2.50000 && c < 2.50000 && c < 2.00000
101;0.00032;125;3;c < 2.50000 && c < 2.50000 && c < 2.00000
102;0.00032;125;3;c < 2.50000 && c < 2.50000 && c < 2.00000
103;0.00032;125;3;c < 2.50000 && c < 2.50000 && c < 2.00000
104;0.00032;125;3;c < 4.50000 && c < 3.00000 && c < 2.00000
105;0.00032;125;3;c < 4.50000 && c < 3.00000 && c < 2.00000
106;0.00032;125;3;c < 3.50000 && c < 3.00000 && c < 2.00000
107;0.00032;125;3;c < 3.50000 && c < 3.00000 && c < 2.00000
108;0.00032;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
109;0.00032;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
110;0.00032;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
111;0.00032;125;4;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
112;0.00032;125;4;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.00000
113;0.00032;125;4;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.00000
114;0.00032;125;4;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.00000
115;0.00032;125;4;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.00000
116;0.00032;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
117;0.00032;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
118;0.00032;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
119;0.00032;125;5;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
120;0.00032;125;5;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.00000
121;0.00032;125;5;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.00000
122;0.00032;125;5;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.00000
123;0.00032;125;5;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.00000
124;0.00032;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
125;0.00032;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
