sg;quality;size;#conditions;description
1;0.00224;250;1;c < 2.50000
2;0.00224;250;1;c < 3.00000
3;0.00128;500;1;c < 4.50000
4;0.00096;375;1;c < 3.50000
5;0.00096;375;1;c < 4.00000
