id_pattern	attributes	pattern	support_size	support_size_ratio	quality	quality_gain	tpr	fpr	nb_patterns	timespent
0	['age', 'operation_year']	[[43.0, 83.0], [58.0, 65.0]]	179	0.5849673202614379	0.04123414071510958	0.04123414071510958	0.7407407407407407	0.5288888888888889	9859	0.7000000476837158
1	['age', 'operation_year']	[[34.0, 46.0], [66.0, 69.0]]	20	0.06535947712418301	0.008842752787389465	0.008842752787389467	0.09876543209876543	0.05333333333333334	610	0.7349998950958252
2	['age', 'operation_year']	[[54.0, 61.0], [68.0, 68.0]]	4	0.013071895424836602	0.006343713956170703	0.006343713956170706	0.037037037037037035	0.0044444444444444444	189	0.75
3	['age', 'operation_year']	[[41.0, 41.0], [60.0, 64.0]]	3	0.00980392156862745	0.00394079200307574	0.00394079200307574	0.024691358024691357	0.0044444444444444444	100	0.755000114440918
4	['age', 'operation_year']	[[52.0, 52.0], [66.0, 69.0]]	4	0.013071895424836602	0.003075740099961553	0.0030757400999615533	0.024691358024691357	0.008888888888888889	55	0.755000114440918
SubgroupSet	['age', 'operation_year']	-	210	0.6862745098039216	0.06343713956170705	0.06343713956170705	0.9259259259259259	0.6	10813	0.755000114440918
