method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	breastCancer	['Mitoses']	['numeric']	1	Class	4	0.34992679355783307	5	1	120	0.17569546120058566	0.4476987447698745	0.02927927927927928	0.09518123685660326	13	0.00800013542175293	0	True
naive	breastCancer	['Mitoses']	['numeric']	1	Class	4	0.34992679355783307	5	1	120	0.17569546120058566	0.4476987447698745	0.02927927927927928	0.09518123685660326	45	0.017999887466430664	0	True
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size']	['numeric', 'numeric']	2	Class	4	0.34992679355783307	5	2	267	0.39092240117130306	0.9581589958158996	0.08558558558558559	0.19849128275264796	101	0.02499985694885254	0	True
naive	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size']	['numeric', 'numeric']	2	Class	4	0.34992679355783307	5	2	267	0.39092240117130306	0.9581589958158996	0.08558558558558559	0.19849128275264796	1424	0.19500017166137695	0	True
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape']	['numeric', 'numeric', 'numeric']	3	Class	4	0.34992679355783307	5	2	265	0.38799414348462663	0.9832635983263598	0.06756756756756757	0.208300731635687	244	0.059999942779541016	0	True
naive	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape']	['numeric', 'numeric', 'numeric']	3	Class	4	0.34992679355783307	5	2	265	0.38799414348462663	0.9832635983263598	0.06756756756756757	0.208300731635687	19354	2.5380001068115234	0	True
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape', 'Single_Epithelial_Cell_Size', 'Marginal_Adhesion']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	Class	4	0.34992679355783307	5	4	262	0.383601756954612	0.9874476987447699	0.05855855855855856	0.21130187421353988	734	0.20799994468688965	0	True
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape', 'Single_Epithelial_Cell_Size', 'Marginal_Adhesion', 'Bare_Nuclei', 'Bland_Chromatin', 'Normal_Nucleoli']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	Class	4	0.34992679355783307	5	4	262	0.383601756954612	1.0	0.0518018018018018	0.2156942607435545	2588	0.8410000801086426	0	True
fssd	breastCancer	['Mitoses', 'Uniformity_of_Cell_Size', 'Uniformity_of_Cell_Shape', 'Single_Epithelial_Cell_Size', 'Marginal_Adhesion', 'Bare_Nuclei', 'Bland_Chromatin', 'Normal_Nucleoli', '﻿Clump_Thickness']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	9	Class	4	0.34992679355783307	5	3	261	0.3821376281112738	1.0	0.04954954954954955	0.21620659865505937	4222	1.5540001392364502	0	True
