method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	abalone	['h']	['numeric']	1	class	M	0.3658127842949485	5	1	2769	0.6629159683983721	0.8043193717277487	0.5813514533786335	0.05172717268070086	199	0.23099994659423828	0	True
naive	abalone	['h']	['numeric']	1	class	M	0.3658127842949485	5	1	2769	0.6629159683983721	0.8043193717277487	0.5813514533786335	0.05172717268070086	300	0.3810000419616699	0	True
fssd	abalone	['h', 'c']	['numeric', 'numeric']	2	class	M	0.3658127842949485	5	5	2891	0.6921235336365813	0.856675392670157	0.5972064930162325	0.060195173713982225	68056	47.75699996948242	0	True
fssd	abalone	['h', 'c', 'b']	['numeric', 'numeric', 'numeric']	3	class	M	0.3658127842949485	5	1	2766	0.662197749581039	0.8043193717277487	0.5802189505473764	0.051989906306002476	3017000	1800.0390002727509	0	False
fssd	abalone	['h', 'c', 'b', 'a', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	M	0.3658127842949485	5	1	2764	0.6617189370361504	0.8043193717277487	0.5794639486598716	0.05216506205620357	3306000	1800.0339999198914	0	False
fssd	abalone	['h', 'c', 'b', 'a', 'f', 'g', 'e', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	M	0.3658127842949485	5	1	2762	0.6612401244912617	0.8043193717277487	0.578708946772367	0.052340217806404625	1739000	1800.2260003089905	0	False
