method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	CMC	['i']	['numeric']	1	class	2	0.22606924643584522	3	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	4	0.006798744201660156	0
groundtruth	CMC	['i']	['numeric']	1	class	2	0.22606924643584522	3	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	3	0.006962299346923828	0
fssd	CMC	['i', 'f']	['numeric', 'numeric']	2	class	2	0.22606924643584522	3	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	12	0.01144266128540039	0
groundtruth	CMC	['i', 'f']	['numeric', 'numeric']	2	class	2	0.22606924643584522	3	1	1364	0.9260013577732519	0.96996996996997	0.9131578947368421	0.009939951026141985	9	0.02017688751220703	0
fssd	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3	class	2	0.22606924643584522	3	2	216	0.14663951120162932	0.22822822822822822	0.12280701754385964	0.018444699775870627	46	0.023581504821777344	0
groundtruth	CMC	['i', 'f', 'e']	['numeric', 'numeric', 'numeric']	3	class	2	0.22606924643584522	3	2	216	0.14663951120162932	0.22822822822822822	0.12280701754385964	0.018444699775870627	23	0.1437244415283203	0
fssd	CMC	['i', 'f', 'e', 'g']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	2	0.22606924643584522	3	3	583	0.3957909029192125	0.6066066066066066	0.33421052631578946	0.04765894726945162	291	0.06490874290466309	0
groundtruth	CMC	['i', 'f', 'e', 'g']	['numeric', 'numeric', 'numeric', 'numeric']	4	class	2	0.22606924643584522	3	3	520	0.3530210454854039	0.5645645645645646	0.2912280701754386	0.04782348394661269	184	56.40137958526611	0
