method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory
fssd	abalone	['h']	['numeric']	1	class	M	0.3658127842949485	3	1	2769	0.6629159683983721	0.8043193717277487	0.5813514533786335	0.05172717268070086	199	0.1788949966430664	0
groundtruth	abalone	['h']	['numeric']	1	class	M	0.3658127842949485	3	3	2759	0.6605219056739287	0.8023560209424084	0.578708946772367	0.051884732614373236	300	1091.0210120677948	0
